content,Pays,Provenance
"It is such a fun game, although when it was downloading my data, it was like 15 minutes, but I have to tell you it was worthet.",de,Google Play
"It's essentially a Gacha game with PCG mechanics. It looks good, but has very limited gameplay functionality. The card game itself is pretty fun when you're matched with someone who is around the same level of skill, but as you can buy your way through the card collecting process (like real life, I suppose), the game can just be loss after loss for those who aren't willing to pay for additional packs. I can see that the game could have promise later on, but for now, I'm good.",fr,Google Play
"It's ok, digitally collecting dosnt really hit the same, good drops are very rare, gameplay is way to watered down for my liking. If you know basic math, it just seems too easy to know if your going to win or loose and you cant really change the outcome. I was hoping for a lot more from this game and apart from 2 packs a day, I cant see why you would stay on this game for more than 5-10 minutes a day",us,Google Play
I love gambling!!!,de,Google Play
Haven't seen a card for vaporion or loopuny but expecting some soon but got other good pokemon and gardivior,de,Google Play
awesome 👌 so far so good 👍 let's keep our fingers 🤞,de,Google Play
Fantastic,fr,Google Play
Very well executed,us,Google Play
マリオ🤯,fr,Google Play
fun,us,Google Play
su of,fr,Google Play
"I've been searching for a Pokemon trading card game that was actually suited for play on mobile. This one, quite nice. My only issue is the system of going first or second. Whenever you go first you would assume that you'd get the chance to place energy first, but no, that goes to the opponent. It doesn't make much sense to me, since going first doesn't offer any advantages as far as I've seen. Aside from that, great game. I hope they release more expansion packs and more ways to earn card packs",de,Google Play
it's the coolest app I have ever got on mobile from pokemon company . The animations are cool.,us,Google Play
pretty good so far. Will update later if things change.,de,Google Play
"I've liked this game so far. It's really really fun game. Just a few more updates can make it better. Few features like -- chats, trading(which is coming soon obv) and different card booster packs.",fr,Google Play
"It's fun, 2 free packs a day.",fr,Google Play
"Its all fun game until you lvled up, collected many Cards, Got many trophies, you beat all the bots.At that time, player will be boring, dont know what to do except battling with people.Y'know, its kinda boring when you just log in, open pack, battle, and log off. Suggestion: -Add another Pokemons(Black&White).Fans really love oshawott and Tepic.For me, i like Yamask,Flamajou,Scraggy & Darmanitan -Add event match.Maybe make 2vs2 event, or PowerUp, or 4 people(FreeForAll).This might be fun!",de,Google Play
okay 😎😊,fr,Google Play
Prefer the 6bench version,fr,Google Play
I love the game but there is so many bugs it's insane I would play constantly if the bugs was gone,fr,Google Play
Worst game ever delete it,fr,Google Play
"Already super addicted, this is what I wanted the other pokemon tcg to be like.",us,Google Play
its great,fr,Google Play
I was invested in 3 other pokemon tcg games and here comes another. It doesn't follow the same rules as the actual card game. It's subscription based.,de,Google Play
"Huge fan of Pokèmon, worst idea down loading this game. The ""RNG"" of coin flipping and card draws is absolutely ridiculous and non-existent. Trash game. Don't waste time.",us,Google Play
great,fr,Google Play
"El juego al abrir sobres se me descontrola la pantalla, se pone de colores y no logro ver los sobres.. Del mismo modo, cuesta abrir ya que no se ve bien..",de,Google Play
Awesome work! Very fun and easy to use! Just packed Charzard GX!!,us,Google Play
only thing I can't seem to find a way to get rid of is the red dots in the corners of the missions it is kind of annoying and I wish that we could get gold from certain missions too rather than just leveling up otherwise a great game,us,Google Play
I love gambling,us,Google Play
🥰🥰,de,Google Play
"Fun, needs more cards tho",de,Google Play
I'm addicted,us,Google Play
"It's alright, very basic gameplay/strategy. The only game where you never want to go first. It's such a huge disadvantage, but not sure how they'd fix this",fr,Google Play
Woow,fr,Google Play
I thought like yugioh or other card game you will get a starter Deck and then you battle other people...but 30 min in still couldn't do it so...,us,Google Play
"No skill, just meta builds and luck. If you want to batlle you have to flip a coin with attacks or other interactions. I don't hvae the patience to continue playing this. Also if you misclick and attack, there is no cancelling and you have to follow through. Not a fan and would not recommend to tcg players.",fr,Google Play
I can't even open a booster pack it gives me a blank white screen. During setup it force closed on me 3-5 times including while waiting for it to download more data. I'm very excited for the game when I can play it though.,fr,Google Play
"this is ALMOST what we all wish it was. Yes you can live the nostalgia dreams of opening pokemon packs every day and hoping you get that special card you want. But no trading with friends yet? Battles are very fun, but without a ranked system against other players it feels like there isn't enough to do. WHAT NEEDS TO HAPPEN FOR THIS TO BE 5 STAR: - ranked PVP battles! - trading (duh) - more variety of packs (I know this will come with time) also pass is WAY too expensive ($10/mo!)😭",de,Google Play
"I have to change my mind. The game isn't bad after all. The start of the game is just extremely bumpy. At the beginning I could only draw boosters and because you don't have a lot, not much happens. Only after a few more booster packs (= 2 days) you have enough to actually be able to play. Also before I knew the original card game and the tutorial might be a bit strange for newcomers. The app now seems to be quite entertaining.",us,Google Play
"The battles are fun but it's hard to get cards sometimes. I'm at a point where I can only wait for the timer to go down to get more cards. I thought you could spend in game or real money for packs but it doesn't seem like you can. You could get the subscription to get an extra pack a day to open but asking for $10 seems extreme. The coin flips seem unfair. If I have to flip a coin 4 times and I flip heads, the cpu does the other 3 as tails. If I flip tails, cpu does the other 3 as tails.",de,Google Play
There are some glitching when opening packs,us,Google Play
It's great,de,Google Play
amazing.,de,Google Play
First person to download,us,Google Play
Too many menus and systems that want me to stay in the game. Just make the game good and I will play it.,fr,Google Play
"so suck, server keep down, card keep repeat, to hard to get sources",de,Google Play
It's actually really good I've found no bugs so far and it's nice if you don't want to. my a bunch of irl packs.,fr,Google Play
This came up after I got amazing pulls. Curious? I don't care full art ex Pikachu acquired.,fr,Google Play
"Fun at first, but quickly becomes obvious that you need to drop a ton of money.... if you just want to collect cards, fine. Get into battles though, good luck, incredibly unbalanced mixed with janky mechanics just ruins it",fr,Google Play
Good to have.,de,Google Play
"Too simple,For new players,boring for experts in this field.",de,Google Play
so fun,de,Google Play
5 Stars for the artwork alone. Starting to get more involved as you level up. Takes some time to get your deck up without boosts but an excellent free to play experience so far.,fr,Google Play
Very fun game game with card collecting but ounce u go into battle versus mode slot people uses same card meta with mewtew and gardevoir combo def need to b nerf. Then the next problem is who ever go second basicly wins the game no balance at all in the battle mode. Hopefully this will be fixed.,us,Google Play
I'm enjoying it 😌,fr,Google Play
good,fr,Google Play
Good game i am loveing this,us,Google Play
This game keep crashing for no reason,us,Google Play
Tons of New-to-me Pokémon Cards that I can Collect and Keep in the Many Decks! Easy to play for All ages 👏🏻 👍🏻 👌🏻 😌 😎 🙌🏿,us,Google Play
cool,fr,Google Play
Great fun. For someone like myself that doesn't know a lot about pokemon my partner got me into this game and am very much interested and enjoying it!!!,de,Google Play
love it,fr,Google Play
fun app and art on cards is cool,fr,Google Play
love it,fr,Google Play
it's so fkn fun I got 2 legendary card on day 10,de,Google Play
"It's a good game for most players. However, if you're the first up in a match, you'll lose immediately. I suggest that the first player also gets energy at turn one, or else they're just guaranteed to lose the game.",de,Google Play
I like it 😍,fr,Google Play
Cool 😊,de,Google Play
Seems crash/glitch prone with Pixel phones,fr,Google Play
nice to a Pokémon card trading game..having fun ..hope it continues to be impressive,de,Google Play
alright I guess,de,Google Play
"This game made me feel "" :D "" and "" D:< """,fr,Google Play
nice 🙂,de,Google Play
no gameplay so far!,de,Google Play
"Hype at first time, boring in the long run! Pay to win, every day 2 packs will just give you regular cards. Wait when they add more cards, no matter how skillful your cards wont get a chance of winning",us,Google Play
The water deck is too good with the misty trainer. So is the mewtwo deck. No energy turn one hurts everything but water deck.,us,Google Play
"Pretty fun, no ads, but everything is so slow, too many animations. It gets annoying pretty fast.",de,Google Play
I love this game brings back old days when my mom would by me packs of the base set lol,de,Google Play
Yeeeeeeeeeees,us,Google Play
Played since this morning and it's a pretty good game,us,Google Play
uff I love ❤️,de,Google Play
game is fun for collection and the battles are cool except the coin flip is absolute trash. you're lucky if you get 1 good flip out of 5.,us,Google Play
I love how I can collect cards and not have to worry about losing them 💜,us,Google Play
cool card no money spent insta god pack,fr,Google Play
AWESOME,us,Google Play
"I like card games, has potential",us,Google Play
Really Awesome Game 🥰,fr,Google Play
"Download tcg live if you actually want to play the game , even collecting cards on here feels pointless .",de,Google Play
I mean the app itself is fine..but i cannot play if i use wifi. Works only when i use my mobile data...thats a problem.,fr,Google Play
"I loved the Pokemon card game growing up, so it is no surprise to me that I would enjoy this game. The change to the energy system was just the right one for this format...Now, about those two stars...These Mewtwo Ex + Gardivore decks are NOT FUN!!! And they become available to ANYONE as a rental deck, so they are everywhere! For such a new game it is really disheartening for such a powerful deck to be so common in the meta. I don't mind losing, what I hate is not getting a chance to respond.",fr,Google Play
Gardevoir is over power and psychic deck is buff. But game mechanics is also off like you won the battle but no star that is bad for other player and us. So I wish to rectify this mechanism.,fr,Google Play
very fun and easy game,de,Google Play
"just encountered a pretty decent graphical glitch when opening a Mewtwo pack, It'll take me to the cards where I can choose between ALL of the packs. it'll let me spin it once but then the screen absolutely freaks out and flashes so EPILEPSY BE WARNED. the game is great so far, low review only for the graphical issue I've mentioned, other than that the game is so far without flaw.",us,Google Play
"Nice game. Sort of boring, but that's a regular thing for newly launched games. My only gripe is that the TCG is different than what I'm used to, as I play TCG Live and Pokemon TCG in real life. It's hard to go to a more simpler version of Pokemon TCG when you already have been playing the regular Pokemon TCG for a bit. Otherwise, great game.",fr,Google Play
"Es un juego muy entretenido y muy bueno, el único inconveniente que he visto es a la hora de combatir, la mecánica de los dados está muy mal hecha y está súper desbalanciado.",de,Google Play
Its fun playing with my friends!,de,Google Play
"""Trading card pokemon game"" Yet you can't trade cards. Maybe implement the function thats supposed to be THE MAIN ONE before releasing the game ? +i bet they're going to make only a few cards tradeable, so people still have to pull cards and pay money to get more gacha. Because... well, Nintendo loves money so much",fr,Google Play
Very good,de,Google Play
yeah it's a kind,us,Google Play
very good nice game,de,Google Play
I'm now addcited to this game! It's so awesome that I even got a Moltres EX card! Rock on Pokemon!,fr,Google Play
Still to early to tell but I am upset you can't use code cards from the real tcg game!,fr,Google Play
"Terrible I've almost been given a seizure 4 times while playing, the game keeps flickering violently and it's rather unfortunate as the game also crashes a lot.",fr,Google Play
"Easy to play. It is my first time playing pokemon cards like this. I only played GBA, NDS, pokemons before. I love the collecting of cards. I won few battles too, with this card battles you really don't know what might happen next. I won by comeback and didn't expected it.",de,Google Play
"Very addicting, reminds me of the old days, looking forward for new cards and to be able to Trade cards with other players, so far so good, thank you for this game, save me from boredom",de,Google Play
nice game,us,Google Play
Very enjoyable. Nostalgic and new,fr,Google Play
"excellent game, fantastic artwork",us,Google Play
i love gamblings,us,Google Play
i am addicted to opening packs within the first 5 min,us,Google Play
Insanely half-baked game with no content.,us,Google Play
cool,fr,Google Play
"Very nice card game but bored after 3days,need to improve online game and Online winning rewards",us,Google Play
this is an interesting game I haven't really explored it or really played it yet!!,de,Google Play
Getting stuck when I click on my cards. I can't get rid of the tutorial screens. It soft locks my game,us,Google Play
"Fun little Pokémon collecting game, but for the last 2 days, opening packs as become unplayable the screen just flashes and turns colors and won't let me trace the line to open the pack. I hope this issue gets fixed soon.",fr,Google Play
great but the premium pack timer hasn't been going down when the game isn't open so I cannot recommend using premium,fr,Google Play
awesome so far!,us,Google Play
Nerf Misty!,fr,Google Play
Not open,us,Google Play
Graphics most better than for other games 🎯,us,Google Play
"O jogo é mais ou menos legalzinho,enjoa rapido e o jogo é puramente sorte pra pegar Carta boa e conseguir ganhar cara ou coros na hora certa tem varios bug muito irritantes por exemplo um que no mobile que ja me fez perder umas Cinco partida que eu vou colocar Energia no pokemon de cima pra Ele trocar e o jogo coloca no de baixo por nenhum Motivo,eu também Acho injunto que um jogador de level 20 por exemplo é ainda classificado um iniciante,oque não faz nenhum sentido,o jogo é bem frustante",fr,Google Play
weird idk what else to say,de,Google Play
"I like the simplicity. I don't know much about pokemon, but this is great to mindlessly play.",us,Google Play
it's different from how the actual game plays but it's pretty. not bad,de,Google Play
The game would randomly get a black screen and crash:( pls fix this,us,Google Play
the cards are beautiful,fr,Google Play
way too long of a timer to wait,fr,Google Play
good game,us,Google Play
this app is really good I get to open packs just like in the real world and it's really good,de,Google Play
"Fun, but VERY slow to get a decent deck going...",us,Google Play
Not bad,fr,Google Play
"This game/app could be SO GOOD. But it blatantly lies to you. It gives you options that don't matter (the card packs? Once you click ""open a pack"" the pack is decided. The offered packs don't mean anything). The solo-battles clearly work similarly, where the opponent has a set ""draw"" they start out with every time. If it was fair to the player and not using gambling techniques it would be 5/5 but the sketchy practices are a -4 for me.",de,Google Play
very reminiscent,de,Google Play
Would rate it more but it's super unbalanced and the coding for the deck shuffle is spaghetti,fr,Google Play
"Opening card packs are having issues, it's constantly flashing black and white when trying to look at the other card packs and when I go to open said card pack. Until the issue is fixed it'll stay 1 star",fr,Google Play
"Was working all day today, however now randomly causes my phone to crash every single time I enter the game. It forta crashed mid opening a pack and hasn't recovered since. I'm not about to risk my phone breaking for the game every if I preregistered and have been really excited to play, I've been looking forward to collecting my favorite mons but how can I if my phone is at risk of overloading due to the app. 2 stars since it was enjoyable before the issues.",fr,Google Play
"Good game, just bad matchmaking. Imagine you're new to this game, just had a new deck from around 50-80 cards then you just got matched with a player with an all-ex card deck. It also doesn't make any sense why they would match a level 5 with a level 15 player, it's so unfair. Though it has awesome card looks, and the battle system was great. It's just that the matchmaking sucks.",us,Google Play
"Pretty stripped down version of the card game, but I like the shorter sessions. Makes it better for short play sessions. I also think it's pretty neat how the card interactions work. Dislike the Skinner Box system though, but I guess it's what one would expect from a mobile game. Good job.",fr,Google Play
cool cool beanz beanz COOL BEANZ,fr,Google Play
This is the greatest best super duper game of all timeeeeeeeeeeeeeeee thanks Pokemon.,de,Google Play
Best card game I have played recommend to download of u are into card games or pokemon,fr,Google Play
it keeps on reconnecting,us,Google Play
Great card.,de,Google Play
"This game doesn't get 5 stars due to being a lil bit buggy and glitchy [it's probably just my Wi-Fi so the rating might change] but either way, this game is so much better than Pokémon TCG Live!! It's honestly pretty addicting lol well done, Pokemon!! You have really outdone yourselves",fr,Google Play
Battle system's design for speed works. Absolute unhinged trash. Avoid the battles if you don't want a frustrating experience,de,Google Play
good every day game and it I'd vary addicting,us,Google Play
WE NEED A DARK MODE!!!!!!,de,Google Play
แม้จะมีเรื่องสมดุลที่ไม่สมบูรณ์แบบไปบ้าง แต่ภาพรวมนี่คือเกมที่ดีที่สุดในรอบ10ปีที่เคยเล่นมาจริงๆ,us,Google Play
battle,fr,Google Play
Love it,fr,Google Play
Love pretty much every aspect but almost every battle the screen freezes and I have to quickly restart the app to rejoin the match. Very annoying bug,us,Google Play
Awesome card game! It's giving me vibes from growing up at my local game store,us,Google Play
Just started it. I'm hoping that it stays awesome. The type of thing I can lose myself in.,de,Google Play
decent could be better,us,Google Play
it's a great game I like it it's entertaining,fr,Google Play
The music alone can get the rating. Looks and plays good.,fr,Google Play
so fun and cute makes collecting easy,fr,Google Play
Awesome!,fr,Google Play
love it so far,us,Google Play
"Great game but it's literally unplayable on Google Pixel series, it crashes every 30s, each time with a different error/glitch! Sometimes a funny screen flickering, or a black screen of death or just a regular boring crash",de,Google Play
"After it says You can open an booster pack, the actual thing won't show. Just a white screen. Makes it unplayable.",de,Google Play
cool game just started playing,us,Google Play
much better than pokemon go,us,Google Play
This game is crashing like every 1min .....devs plz fix it,de,Google Play
The screen turns black and doesn't want to let me play?,fr,Google Play
Not able to agre the term use,fr,Google Play
"Posting this in my 1st hour of time with the app. I am a TCG player of 20+ years, and have to say the collecting aspect is 100% here. The presentation is top notch. Hope I can write more about competitive play soon",us,Google Play
hey could you update this game to include all of the pokemon thanks,de,Google Play
Pretty slick! The experience is very good so far,de,Google Play
"It's still too early for a review, but so far, it looks okayish.",us,Google Play
Awesome,fr,Google Play
fun game,fr,Google Play
12 hours to open one booster pack. Wonder pick is basically like gambling. Another pay to win mobile game.,de,Google Play
I hope this will be an investment,us,Google Play
Super excited for it downloaded first day and it worked now it crashes every time,fr,Google Play
no power cards no starter set don't know yet just started,fr,Google Play
Colorful and addicting.,us,Google Play
love at 💕,fr,Google Play
this is so good 👍,fr,Google Play
"Literally isn't the Pokemon TCG, the game is fundamentally different. It's just Hearthstone with pokemon. Nintendo can't manage to make a good Pokemon game, it's crazy.",us,Google Play
Game is rigged. 6 games back to back where every time I flip to attack I got tails. Even after the second flip where they flip the remainder for you. All tails. Definitely not 50% Uninstalled.,de,Google Play
great game,de,Google Play
really cool game super awesome 😎👍,us,Google Play
the best game ever,fr,Google Play
outstanding for new players and people like me who have been around since the beginning. 🖖,de,Google Play
"Ended up uninstall it, bugged out every single time I opened up a pack",us,Google Play
Extremely well done and fun to play.,us,Google Play
fps drops when reviewing special cards...,de,Google Play
